TID;CIVILSTAND;ALDER;INDHOLD
2020K4;Ugift;I alt;2859116
2020K4;Ugift;0 år;61381
2020K4;Ugift;1 år;61650
2020K4;Ugift;2 år;62532
2020K4;Ugift;3 år;61928
2020K4;Ugift;4 år;62597
2020K4;Ugift;5 år;59132
2020K4;Ugift;6 år;58528
2020K4;Ugift;7 år;59354
2020K4;Ugift;8 år;60586
2020K4;Ugift;9 år;63442
2020K4;Ugift;10 år;66642
2020K4;Ugift;11 år;66984
2020K4;Ugift;12 år;69063
2020K4;Ugift;13 år;67463
2020K4;Ugift;14 år;68501
2020K4;Ugift;15 år;68110
2020K4;Ugift;16 år;68059
2020K4;Ugift;17 år;67736
2020K4;Ugift;18 år;67886
2020K4;Ugift;19 år;70314
2020K4;Ugift;20 år;71873
2020K4;Ugift;21 år;72919
2020K4;Ugift;22 år;73281
2020K4;Ugift;23 år;76513
2020K4;Ugift;24 år;74894
2020K4;Ugift;25 år;76716
2020K4;Ugift;26 år;72077
2020K4;Ugift;27 år;68725
2020K4;Ugift;28 år;64341
2020K4;Ugift;29 år;58801
2020K4;Ugift;30 år;53898
2020K4;Ugift;31 år;48657
2020K4;Ugift;32 år;42918
2020K4;Ugift;33 år;38418
2020K4;Ugift;34 år;35288
2020K4;Ugift;35 år;32035
2020K4;Ugift;36 år;28768
2020K4;Ugift;37 år;26542
2020K4;Ugift;38 år;25126
2020K4;Ugift;39 år;23939
2020K4;Ugift;40 år;23638
2020K4;Ugift;41 år;22435
2020K4;Ugift;42 år;21848
2020K4;Ugift;43 år;20471
2020K4;Ugift;44 år;20984
2020K4;Ugift;45 år;21246
2020K4;Ugift;46 år;19926
2020K4;Ugift;47 år;19284
2020K4;Ugift;48 år;19343
2020K4;Ugift;49 år;18116
2020K4;Ugift;50 år;16711
2020K4;Ugift;51 år;16501
2020K4;Ugift;52 år;16584
2020K4;Ugift;53 år;17551
2020K4;Ugift;54 år;17493
2020K4;Ugift;55 år;16433
2020K4;Ugift;56 år;15761
2020K4;Ugift;57 år;14757
2020K4;Ugift;58 år;13577
2020K4;Ugift;59 år;12616
2020K4;Ugift;60 år;11951
2020K4;Ugift;61 år;11161
2020K4;Ugift;62 år;10690
2020K4;Ugift;63 år;10048
2020K4;Ugift;64 år;9495
2020K4;Ugift;65 år;8689
2020K4;Ugift;66 år;8074
2020K4;Ugift;67 år;7504
2020K4;Ugift;68 år;6670
2020K4;Ugift;69 år;5928
2020K4;Ugift;70 år;5457
2020K4;Ugift;71 år;4815
2020K4;Ugift;72 år;4407
2020K4;Ugift;73 år;4290
2020K4;Ugift;74 år;3913
2020K4;Ugift;75 år;3277
2020K4;Ugift;76 år;2859
2020K4;Ugift;77 år;2361
2020K4;Ugift;78 år;1973
2020K4;Ugift;79 år;1652
2020K4;Ugift;80 år;1509
2020K4;Ugift;81 år;1382
2020K4;Ugift;82 år;1216
2020K4;Ugift;83 år;1062
2020K4;Ugift;84 år;942
2020K4;Ugift;85 år;813
2020K4;Ugift;86 år;671
2020K4;Ugift;87 år;637
2020K4;Ugift;88 år;511
2020K4;Ugift;89 år;460
2020K4;Ugift;90 år;398
2020K4;Ugift;91 år;338
2020K4;Ugift;92 år;256
2020K4;Ugift;93 år;222
2020K4;Ugift;94 år;151
2020K4;Ugift;95 år;143
2020K4;Ugift;96 år;96
2020K4;Ugift;97 år;64
2020K4;Ugift;98 år;46
2020K4;Ugift;99 år;42
2020K4;Ugift;100 år;26
2020K4;Ugift;101 år;7
2020K4;Ugift;102 år;9
2020K4;Ugift;103 år;3
2020K4;Ugift;104 år;2
2020K4;Ugift;105 år;2
2020K4;Ugift;106 år;1
2020K4;Ugift;107 år;0
2020K4;Ugift;108 år;1
2020K4;Ugift;109 år;0
2020K4;Ugift;110 år;0
2020K4;Ugift;111 år;0
2020K4;Ugift;112 år;0
2020K4;Ugift;113 år;0
2020K4;Ugift;114 år;0
2020K4;Ugift;115 år;0
2020K4;Ugift;116 år;0
2020K4;Ugift;117 år;0
2020K4;Ugift;118 år;0
2020K4;Ugift;119 år;0
2020K4;Ugift;120 år;0
2020K4;Ugift;121 år;0
2020K4;Ugift;122 år;0
2020K4;Ugift;123 år;0
2020K4;Ugift;124 år;0
2020K4;Ugift;125 år;0
2020K4;Gift/separeret;I alt;2138124
2020K4;Gift/separeret;0 år;0
2020K4;Gift/separeret;1 år;0
2020K4;Gift/separeret;2 år;0
2020K4;Gift/separeret;3 år;0
2020K4;Gift/separeret;4 år;0
2020K4;Gift/separeret;5 år;0
2020K4;Gift/separeret;6 år;0
2020K4;Gift/separeret;7 år;0
2020K4;Gift/separeret;8 år;0
2020K4;Gift/separeret;9 år;0
2020K4;Gift/separeret;10 år;0
2020K4;Gift/separeret;11 år;0
2020K4;Gift/separeret;12 år;0
2020K4;Gift/separeret;13 år;0
2020K4;Gift/separeret;14 år;0
2020K4;Gift/separeret;15 år;0
2020K4;Gift/separeret;16 år;0
2020K4;Gift/separeret;17 år;0
2020K4;Gift/separeret;18 år;13
2020K4;Gift/separeret;19 år;74
2020K4;Gift/separeret;20 år;231
2020K4;Gift/separeret;21 år;575
2020K4;Gift/separeret;22 år;1104
2020K4;Gift/separeret;23 år;1971
2020K4;Gift/separeret;24 år;3323
2020K4;Gift/separeret;25 år;5390
2020K4;Gift/separeret;26 år;7782
2020K4;Gift/separeret;27 år;11080
2020K4;Gift/separeret;28 år;14725
2020K4;Gift/separeret;29 år;18106
2020K4;Gift/separeret;30 år;22054
2020K4;Gift/separeret;31 år;24633
2020K4;Gift/separeret;32 år;27145
2020K4;Gift/separeret;33 år;28876
2020K4;Gift/separeret;34 år;30431
2020K4;Gift/separeret;35 år;31269
2020K4;Gift/separeret;36 år;31867
2020K4;Gift/separeret;37 år;32675
2020K4;Gift/separeret;38 år;33934
2020K4;Gift/separeret;39 år;35034
2020K4;Gift/separeret;40 år;37745
2020K4;Gift/separeret;41 år;38791
2020K4;Gift/separeret;42 år;40136
2020K4;Gift/separeret;43 år;39917
2020K4;Gift/separeret;44 år;42480
2020K4;Gift/separeret;45 år;44804
2020K4;Gift/separeret;46 år;44188
2020K4;Gift/separeret;47 år;44168
2020K4;Gift/separeret;48 år;46608
2020K4;Gift/separeret;49 år;45038
2020K4;Gift/separeret;50 år;43636
2020K4;Gift/separeret;51 år;43729
2020K4;Gift/separeret;52 år;45571
2020K4;Gift/separeret;53 år;49121
2020K4;Gift/separeret;54 år;51013
2020K4;Gift/separeret;55 år;49791
2020K4;Gift/separeret;56 år;48603
2020K4;Gift/separeret;57 år;47007
2020K4;Gift/separeret;58 år;45561
2020K4;Gift/separeret;59 år;44281
2020K4;Gift/separeret;60 år;44092
2020K4;Gift/separeret;61 år;43280
2020K4;Gift/separeret;62 år;42965
2020K4;Gift/separeret;63 år;42660
2020K4;Gift/separeret;64 år;42952
2020K4;Gift/separeret;65 år;41960
2020K4;Gift/separeret;66 år;40955
2020K4;Gift/separeret;67 år;42051
2020K4;Gift/separeret;68 år;39872
2020K4;Gift/separeret;69 år;39285
2020K4;Gift/separeret;70 år;40086
2020K4;Gift/separeret;71 år;39555
2020K4;Gift/separeret;72 år;40784
2020K4;Gift/separeret;73 år;42657
2020K4;Gift/separeret;74 år;42096
2020K4;Gift/separeret;75 år;38275
2020K4;Gift/separeret;76 år;34132
2020K4;Gift/separeret;77 år;29610
2020K4;Gift/separeret;78 år;25945
2020K4;Gift/separeret;79 år;21604
2020K4;Gift/separeret;80 år;19583
2020K4;Gift/separeret;81 år;17003
2020K4;Gift/separeret;82 år;14868
2020K4;Gift/separeret;83 år;12496
2020K4;Gift/separeret;84 år;10253
2020K4;Gift/separeret;85 år;8393
2020K4;Gift/separeret;86 år;6525
2020K4;Gift/separeret;87 år;5177
2020K4;Gift/separeret;88 år;4078
2020K4;Gift/separeret;89 år;3095
2020K4;Gift/separeret;90 år;2243
2020K4;Gift/separeret;91 år;1681
2020K4;Gift/separeret;92 år;1223
2020K4;Gift/separeret;93 år;823
2020K4;Gift/separeret;94 år;594
2020K4;Gift/separeret;95 år;347
2020K4;Gift/separeret;96 år;195
2020K4;Gift/separeret;97 år;110
2020K4;Gift/separeret;98 år;60
2020K4;Gift/separeret;99 år;40
2020K4;Gift/separeret;100 år;18
2020K4;Gift/separeret;101 år;14
2020K4;Gift/separeret;102 år;7
2020K4;Gift/separeret;103 år;2
2020K4;Gift/separeret;104 år;0
2020K4;Gift/separeret;105 år;0
2020K4;Gift/separeret;106 år;0
2020K4;Gift/separeret;107 år;0
2020K4;Gift/separeret;108 år;0
2020K4;Gift/separeret;109 år;0
2020K4;Gift/separeret;110 år;0
2020K4;Gift/separeret;111 år;0
2020K4;Gift/separeret;112 år;0
2020K4;Gift/separeret;113 år;0
2020K4;Gift/separeret;114 år;0
2020K4;Gift/separeret;115 år;0
2020K4;Gift/separeret;116 år;0
2020K4;Gift/separeret;117 år;0
2020K4;Gift/separeret;118 år;0
2020K4;Gift/separeret;119 år;0
2020K4;Gift/separeret;120 år;0
2020K4;Gift/separeret;121 år;0
2020K4;Gift/separeret;122 år;0
2020K4;Gift/separeret;123 år;0
2020K4;Gift/separeret;124 år;0
2020K4;Gift/separeret;125 år;0
